draft,type,num,date,day,topics,slides,readings,assignments,
,,1,4-Sep,Wed,"* Introductions 
* JavaScript Basics
* Variables
* Functions","In Class
 
 * [Intro](slides/intro/intro.html#/10)
 * [Values, Types, and Operators](slides/js/js-values-types-operators.html#/9) (skim)
 * [Variables, Built-in Functions](slides/js/js-variables-functions.html)
 * [Control Structures](slides/js/js-conditionals-loops.html) (skim)
 * [Functions](slides/js/js-functions.html)
 * [Hoisting](slides/js/js-hoisting.html) (skim)
 * [Objects](slides/js/js-objects.html)
 * [Functions Some More!](slides/js/js-functions-addendum.html)
 * [Strings, Arrays, Mutability and Variable Parameters](slides/js/js-strings-arrays.html) (skim)
 * Arriving on Time
 * Survey / Consent to Use GitHub
 * Piazza
 * Node Installation
 
 Home
 
 * [About JavaScript](slides/js/js-intro.html)","For an in-depth JavaScript introduction, __skim__ these chapters in [{{ site.book_js }}]({{ site.book_js_2_link }})
 
 * [Chapter 7 - JavaScript's Syntax (the section on ""Strict Mode"" can be skipped)](http://speakingjs.com/es5/ch07.html) 
 * [Chapter 8 - Values](http://speakingjs.com/es5/ch08.html)
 * [Chapter 9 - Operators (""Comma Operator"" and everything after can be skipped)](http://speakingjs.com/es5/ch09.html)
 * [Chapter 10 - Booleans](http://speakingjs.com/es5/ch10.html)
 * [Chapter 11 - Numbers](http://speakingjs.com/es5/ch11.html)
 * [Chapter 12 - Strings](http://speakingjs.com/es5/ch12.html)
 * [Chapter 13 - Statements](http://speakingjs.com/es5/ch13.html)
 * [Chapter 15 - Functions (up to ""More Control over Function Calls"")](http://speakingjs.com/es5/ch15.html)
 * [Chapter 16 -Variables: Scopes, Environments, and Closures (up to ""Global Variables"")](http://speakingjs.com/es5/ch16.html)
 
 [{{ site.book_js_2 }}]({{ site.book_js_2_link }})
 
 * [Chapter 9 - Variables and scoping](http://exploringjs.com/es6/ch_variables.html)
 For a more gentle introduction to JavaScript, read the first 3 chapters of [{{ site.book_js_5 }}]({{ site.book_js_5_link }}) 
 
 * Chapter 1 - Values, Types, and Operators
 * Chapter 2 - Program Structure
 * Chapter 3 - Functions","__Due Monday 9/9, by 11pm__ 
 
 Homework #0
 
 * [Fill out this survey / use of GitHub consent form]({{ site.survey_intro }})
 * (Must be logged in to NYU Google Drive)
 * (Required for future homeworks! ^^^)
 * [Sign up for piazza]({{ site.piazza }})
 * [Install Node {{ site.node_version }}](https://nodejs.org/en/)
 * (you can also use homebrew on MacOS or apt/yum/etc. on Linux)
 
 
 __Due Monday 9/9, by 11pm__ 
 
 * Quizzes #2 and #3 
 * (Quizz #1 is Optional)",
,,2,9-Sep,Mon,"* Objects
* Node
* Modules and Require
* Static Analysis Tools
 * Introduction to Higher Order Functions (Maybe?)","Discussion
 
* Academic Integrity
* Tutoring and Workshops!
 
 Slides
 
* [Node, NPM, and git](slides/js/js-node-npm-debug-git.html)
* package.json, package-lock.json, npm (init, install, list)
* [Objects](slides/js/js-objects.html)
* constructor / holes, mutability, slice
* [Functions Some More!](slides/js/js-functions-addendum.html)
* [Strings, Arrays, Mutability and Variable Parameters](slides/js/js-strings-arrays.html)
* File IO","[{{ site.book_js }}]({{ site.book_js_link }})
 
 * [Chapter 17 - Objects (up to ""Converting Any Value to an Object"")](http://speakingjs.com/es5/ch17.html)
 * [Chapter 18 - Arrays)](http://speakingjs.com/es5/ch18.html)
 
 [{{ site.book_js_6 }}]({{ site.book_js_6_link }})
 
 * [Chapter 3. The Event Loop](https://www.oreilly.com/library/view/node-up-and/9781449332235/ch03.html#chap3_id35941348)
 * [Chapter 4. Core APIs](https://www.oreilly.com/library/view/node-up-and/9781449332235/ch04s03.html#chap6_id35817320) - Only Section on I/O

 [{{ site.book_js_5}}]({{ site.book_js_5_link }})

*  [Chapter 11 - Asynchronous Programming](http://eloquentjavascript.net/11_async.html) (Only read up to Promises)"," __Due Monday 9/16, by 11pm__
 
* [Homework #1](homework/01.html)
",
,,3,11-Sep,Wed,* Higher Order Functions,"* [Higher Order Functions](slides/js/higher-order-functions.html) 
* [Higher Order Functions Continued](slides/js/higher-order-functions-continued.html) 
* [Objects Revisited, Arrow Functions with ""this""](slides/js/objects-prototypes.html)
* [A Detour: Globals, Methods, and This](slides/js/globals-methods-this.html)","[{{ site.book_js }}]({{ site.book_js_link }})
 
 * [Chapter 15 - Functions (up to ""More Control over Function Calls"")](http://speakingjs.com/es5/ch15.html)
 
 [{{ site.book_js_2 }}]({{ site.book_js_2_link }})
 
 * 4.9 From arguments to rest parameters in [Core ES6 Features](http://exploringjs.com/es6/ch_core-features.html)
 * 13.1 Overview and 13.2.4 ECMAScript 6 solution: arrow functions in [Arrow Functions](http://exploringjs.com/es6/ch_arrow-functions.html#ch_arrow-functions)
 
 [{{ site.book_js_5 }}]({{ site.book_js_5_link }})
 
 * [Chapter 5 - Higher Order Functions](http://eloquentjavascript.net/05_higher_order.html)",,
,,4,16-Sep,Mon,* Objects and Prototypes,"* [Objects and Prototypes, Classes](slides/05/prototypes.html)
* [Objects in JavaScript Summary](slides/05/objects-review.html)
* [Where Not to Use Arrow Functions](slides/05/not-arrow.html)","[{{ site.book_js }}]({{ site.book_js_link }})
 
 * [Chapter 17 -Layer 2: The Prototype Relationship Between Objects](http://speakingjs.com/es5/ch17.html#prototype_relationship)
 
 [{{ site.book_js_2 }}]({{ site.book_js_2_link }}])
 
 * [Chapter 10 - Destructuring](http://exploringjs.com/es6/ch_destructuring.html)
 * [Chapter 15 - Classes](http://exploringjs.com/es6/ch_classes.html)

 [{{ site.book_js_5 }}]({{ site.book_js_5_link }}) (Optional, similar content to Speaking JS chapter above)
 
 * [Chapter 6 - The Secret Life of Objects](http://eloquentjavascript.net/06_object.html)
 * [Chapter 8 - Bugs and Error Handling](http://eloquentjavascript.net/08_error.html)","
 __Due Monday MORNING 9/23, by 9am__ 
 
 * Quiz #4 (Readings and Slides from classes 5 and 6)

 __Due Monday 9/23 at 11pm:__
 
 * [Homework #2](homework/02.html) 



 ",
,,5,18-Sep,Wed,"* Networking Primer
* Network Programming
* Streams / Buffers / File IO
* HTTP
* A Simple Web Server","* [Intro to Web Development](slides/05/web.html)
* [Networking and Sockets](slides/06/sockets.html)
* [A Webserver](slides/06/webserver.html)","A Networking Zine!
 
* [Networking ACK!](https://jvns.ca/zines/#networking-ack) by Julia Evans

[{{ site.book_js_6 }}]({{ site.book_js_6_link }})
 
* [Chapter 2. Doing Interesting Things](https://www.oreilly.com/library/view/node-up-and/9781449332235/ch02.html#I_sect12_d1e1211) - Only Section on ""Building a Chat Server""
 
MDN Articles on HTTP 

* [MDN An overview of HTTP](https://developer.mozilla.org/en-US/docs/Web/HTTP/Overview)
* [MDN A typical HTTP session](https://developer.mozilla.org/en-US/docs/Web/HTTP/Session)
* [MDN HTTP Messages](https://developer.mozilla.org/en-US/docs/Web/HTTP/Messages)
* [MDN HTTP methods ](https://developer.mozilla.org/en-US/docs/Web/HTTP/Methods)
* [MDN status codes](https://developer.mozilla.org/en-US/docs/Web/HTTP/Status) 
 
 [{{ site.book_js_5 }}]({{ site.book_js_5_link }}) (Optional, same content as above)
 
 * [Chapter 13 - JavaScript and the Browser](http://eloquentjavascript.net/13_browser.html) (up to HTML)
 * [Chapter 17 - HTTP and Forms](http://eloquentjavascript.net/18_http.html) (up to Fetch)

Net Module Review
 
 * [Create Server](https://nodejs.org/api/net.html#net_net_createserver_options_connectionlistener)
",,
,,6,23-Sep,Mon,"* A Simple Web Server Continued / Our ""Framework""
* Routing
* Node HTTP Module","* [HTTP Summary](slides/07/http-summary.html)
* [Sockets Review](slides/07/sockets-review.html)

Coding Demo
 
* [echoServer.js](examples/class07/echoServer.js) (simple tcp/ip server)
* [demo.js](examples/sp19-class07/demo.js) (basic http server built on top of net module)
 
 
Sample Code With File I/O
 
* [webServer.js](examples/class07b/webServer.js) (same as demo.js, but reads file from file system!)
* public/[harry.html](examples/class07b/public/harry.html)
* public/[mouse.html](examples/class07b/public/mouse.html)
 
 
<!--Coding Demo fa19
 
* review net module
* routing
* sending a text file
* sending an image
* post
* redirect
* this, bind, arrow + ES6 classes
 
Example Set 1
 
* [echoServer.js](examples/class07/echoServer.js)
* [webServer.js](examples/class07/webServer.js)
* public/[homer.html](examples/class07/public/homer.html)
* public/[pika.html](examples/class07/public/pika.html)
 
Example Set 2
 
* [webServer.js](examples/class07b/webServer.js)
* public/[harry.html](examples/class07b/public/harry.html)
* public/[mouse.html](examples/class07b/public/mouse.html)
 
 
 
 
* [Node's HTTP Module](slides/07/node-http.html)
* [Project Setup](slides/08/setup.html)
-->",See previous classes on HTTP and network programming,"__Due Wednesday 10/2 at 11pm:__
 
 
 
 * [Homework #3](homework/03.html)

",
,,7,25-Sep,Wed,"* Server-side Web Framework
* Project Layout","Slides
 
 * [Express](slides/08/express.html) 

 Coding Demo
 
 * [Express Basics](examples/class08/express-basics.zip)","[{{ site.book_js_6 }}]({{ site.book_js_6_link }})

* [Chapter 7. Important External Modules - Express - A Basic Express App and Setting Up Routes in Express](https://www.oreilly.com/library/view/node-up-and/9781449332235/ch07.html#id3219848)

Express Documentation

* [Express Hello World](https://expressjs.com/en/starter/hello-world.html)
* [Express Basic Routing](https://expressjs.com/en/starter/basic-routing.html)
* [Express Routing](https://expressjs.com/en/guide/routing.html) (up to, but not including route paths)
* [Express Static Files](https://expressjs.com/en/starter/static-files.html)",,
,,8,30-Sep,Mon,"* Server-side Web Framework Continued
 * Templating","* (See previous slides on Express)
* [Templating](slides/09/templating.html)
* [Middleware](slides/09/middleware.html)
","Handlebars Documentation

* [Handlebars Basics](http://handlebarsjs.com/expressions.html) (Basic Usage Section Only)
* [Handlebars Loops/Conditionals](http://handlebarsjs.com/block_helpers.html) (Up to Hash Arguments, Ignore blocks with `registerHelper`)

Express Documentation

* [Middleware](https://expressjs.com/en/guide/writing-middleware.html)

[{{ site.book_js_6 }}]({{ site.book_js_6_link }})

* [Chapter 7. Important External Modules - Express - Middleware](https://www.oreilly.com/library/view/node-up-and/9781449332235/ch07.html#id3221848) ",,
,,9,2-Oct,Wed,* Forms,"* Review Middleware
* [Express Request and Response](slides/09/request-response.html) (start [With Web Server/Web App](slides/09/request-response.html#/7))
* GET and POST / Request and Response 
* [Form Handling](slides/10/forms.html)
 
 Coding Demo
 
* [Middleware and Forms](examples/class09/middleware-forms.zip)

","[{{ site.book_js_6 }}]({{ site.book_js_6_link }})

* [Chapter 7. Important External Modules - Express - Handling Forms](https://www.oreilly.com/library/view/node-up-and/9781449332235/ch07.html#id3220880
)
 
MDN Articles on Express

* [Forms](https://developer.mozilla.org/en-US/docs/Learn/Server-side/Express_Nodejs/forms) (up to validation)","__Due Wednesday 10/9 at 11pm__
 

 * [Homework #4](homework/04.html)",
,,10,7-Oct,Mon,"* Cookies
* Sessions 
* NoSQL Database
","* Review form handling, middleware
* [Sessions and Cookies](slides/10/sessions.html)
* Exam, Legislative Day
* [Introduction to Databases / Mongo DB](slides/14/mongo.html)
 
<!--
 
(???)
 Coding Demo
 
 * [creating middleware, sessions](examples/class10/middleware-sessions.zip)
 
-->","MDN / nczonline Articles

* [MDN on Cookies](https://developer.mozilla.org/en-US/docs/Web/HTTP/Cookies)
* nczonline articles on [Cookies](https://www.nczonline.net/blog/2009/05/05/http-cookies-explained/) and [Cookies and Security](https://www.nczonline.net/blog/2009/05/12/cookies-and-security/)

MongoDB Documentation

* [MongoDB Databases and Collections](https://docs.mongodb.com/manual/core/databases-and-collections/)
* [MongoDB Types](https://docs.mongodb.com/manual/core/documen://docs.mongodb.com/manual/reference/bson-types/)
* [MongoDB Query Documents](https://docs.mongodb.com/manual/tutorial/query-documents/)
* [MongoDB Create, Read, Update, Delete](https://docs.mongodb.com/manual/crud/)
* [MongoDB Insert](https://docs.mongodb.com/manual/tutorial/insert-documents/)",,
